record_id,visit_location,auditor_score,surveyor_score,survey_source,auditor_source
21160,AkRu05215,3,10,well,well
7938,KiRu29290,3,10,shared_tap,shared_tap
43140,KiHa22748,9,10,tap_in_home_broken,tap_in_home_broken
18495,SoRu37841,6,10,shared_tap,shared_tap
33931,KiRu27884,1,10,well,well
17950,KiZu31170,9,10,tap_in_home_broken,tap_in_home_broken
36864,KiZu31370,3,10,shared_tap,shared_tap
45924,AkRu06495,2,10,well,well
30524,HaRu17528,1,10,well,well
13192,SoRu38331,3,10,shared_tap,shared_tap
15461,AmRu15556,9,10,tap_in_home_broken,tap_in_home_broken
55067,AmAm09607,9,10,tap_in_home_broken,tap_in_home_broken
29407,AkHa00314,9,10,tap_in_home_broken,tap_in_home_broken
28874,KiRu26598,9,10,tap_in_home_broken,tap_in_home_broken
55796,KiIs23853,2,10,well,well
33630,AkRu03475,1,10,well,well
28404,KiIs24083,2,10,well,well
14211,AmAm09631,9,10,tap_in_home_broken,tap_in_home_broken
51075,KiRu30343,2,10,well,well
10586,AmRu13668,9,10,tap_in_home_broken,tap_in_home_broken
3267,SoBa31691,0,10,river,river
53182,AkRu04116,3,10,well,well
50239,AmPw12272,9,10,tap_in_home_broken,tap_in_home_broken
59640,SoRu37524,3,10,well,well
40443,AmRu14691,2,10,well,well
5645,KiRu29556,2,10,well,well
57038,KiZu30847,9,10,tap_in_home_broken,tap_in_home_broken
25387,AkHa00363,0,10,river,river
3296,SoBa31761,2,10,well,well
16159,SoKo33094,0,10,river,river
26260,HaSe21323,3,10,well,well
17086,AmDa11466,1,10,well,well
7867,HaRu17038,2,10,well,well
38102,KiRu27364,0,10,river,river
12705,AkRu05880,7,10,shared_tap,shared_tap
251,KiRu29696,2,10,well,well
29772,KiRu27065,0,10,river,river
50918,AkRu07426,3,10,shared_tap,shared_tap
3154,AmAs10124,6,10,shared_tap,shared_tap
32555,HaRu18142,2,10,well,well
32008,AkRu06284,3,10,shared_tap,shared_tap
54560,KiRu25347,2,10,well,well
42302,AmRu14364,2,10,well,well
31033,KiZu31100,3,10,shared_tap,shared_tap
15869,KiRu29537,2,10,well,well
49033,AkRu03973,3,10,well,well
56898,SoKo33333,2,10,well,well
55794,KiRu26688,2,10,well,well
3116,SoIl32575,1,10,well,well
26183,SoMa34366,9,10,tap_in_home_broken,tap_in_home_broken
16410,AkRu04935,3,10,shared_tap,shared_tap
25725,HaRu19244,2,10,well,well
7252,SoRu36708,3,10,shared_tap,shared_tap
37357,AkRu04508,1,10,well,well
43412,AkRu03848,3,10,shared_tap,shared_tap
24797,AkLu02500,3,10,well,well
37457,AkRu07310,9,10,tap_in_home_broken,tap_in_home_broken
58866,AkKi01267,9,10,tap_in_home_broken,tap_in_home_broken
47227,AmRu14245,9,10,tap_in_home_broken,tap_in_home_broken
49082,KiZu30932,9,10,tap_in_home_broken,tap_in_home_broken
8186,KiAm22092,9,10,tap_in_home_broken,tap_in_home_broken
3179,KiRu29147,0,10,river,river
26566,SoRu38045,9,10,tap_in_home_broken,tap_in_home_broken
7548,SoIl32770,0,10,river,river
52429,HaDj16824,1,10,well,well
45008,KiRu29639,1,10,well,well
11962,KiRu29329,0,10,river,river
21392,AkHa00311,9,10,tap_in_home_broken,tap_in_home_broken
23328,KiMr24919,1,10,well,well
23715,HaRu20005,1,10,well,well
3841,AmRu14113,2,10,well,well
34833,AkKi01256,1,10,well,well
3351,SoRu36101,3,10,shared_tap,shared_tap
17929,SoRu39544,0,10,river,river
28869,AkHa00053,9,10,tap_in_home_broken,tap_in_home_broken
57001,HaSe20888,9,10,tap_in_home_broken,tap_in_home_broken
20163,SoRu38401,2,10,well,well
23126,AmRu14223,1,10,well,well
31028,AmRu14887,9,10,tap_in_home_broken,tap_in_home_broken
49443,AkRu02789,2,10,well,well
36818,HaRu20146,2,10,well,well
19961,AkRu05741,3,10,well,well
18443,KiMr24359,2,10,well,well
5889,AkKi00847,3,10,well,well
55949,HaRu19621,3,10,shared_tap,shared_tap
28729,HaYa21395,2,10,well,well
3233,AkRu03245,2,10,well,well
33833,HaRu20544,1,10,well,well
1556,AmRu14959,9,10,tap_in_home_broken,tap_in_home_broken
47474,KiRu30640,2,10,well,well
24867,SoMa34211,1,10,well,well
44282,SoRu38535,0,10,river,river
11097,SoRu36566,3,10,shared_tap,shared_tap
293,AmAs10336,3,10,shared_tap,shared_tap
34822,AmRu15719,9,10,tap_in_home_broken,tap_in_home_broken
39250,AkRu08640,3,10,shared_tap,shared_tap
55271,AmRu13226,9,10,tap_in_home_broken,tap_in_home_broken
47831,AmPw12480,5,10,shared_tap,shared_tap
47055,AmRu14842,2,10,well,well
31888,AkRu03358,1,10,well,well
57735,AmRu13433,9,10,tap_in_home_broken,tap_in_home_broken
15929,AmAm09956,1,10,well,well
