record_id,visit_location,audit_location,true_water_source_score
5185,SoRu34980,SoRu34980,1
59367,AkRu08112,AkRu08112,3
37379,AkLu02044,AkLu02044,0
51627,AkHa00421,AkHa00421,3
28758,SoRu35221,SoRu35221,0
31048,HaAm16170,HaAm16170,1
1513,AkRu04812,AkRu04812,3
1218,AkRu08304,AkRu08304,3
8322,AkRu05107,AkRu05107,2
21160,AkRu05215,AkRu05215,3
13070,HaDe16541,HaDe16541,2
54220,KiRu30351,KiRu30351,9
191,AmAm09813,AmAm09813,4
51172,SoRu37005,SoRu37005,0
21010,KiRu26067,KiRu26067,3
21098,KiRu26067,KiRu26067,3
21162,KiRu26067,KiRu26067,3
21254,KiRu26067,KiRu26067,3
21281,KiRu26067,KiRu26067,3
21315,KiRu26067,KiRu26067,3
21403,KiRu26067,KiRu26067,3
21476,KiRu26067,KiRu26067,3
40276,SoRu37100,SoRu37100,0
38071,AmDa11611,AmDa11611,1
7938,KiRu29290,KiRu29290,3
8076,KiRu29290,KiRu29290,3
8108,KiRu29290,KiRu29290,3
8168,KiRu29290,KiRu29290,3
8261,KiRu29290,KiRu29290,3
8277,KiRu29290,KiRu29290,3
8360,KiRu29290,KiRu29290,3
8386,KiRu29290,KiRu29290,3
25278,AkRu07801,AkRu07801,3
25371,AkRu07801,AkRu07801,3
25405,AkRu07801,AkRu07801,3
25432,AkRu07801,AkRu07801,3
25461,AkRu07801,AkRu07801,3
25520,AkRu07801,AkRu07801,3
25667,AkRu07801,AkRu07801,3
25691,AkRu07801,AkRu07801,3
47319,KiZu31015,KiZu31015,3
2942,KiIs24026,KiIs24026,2
47118,AkRu08480,AkRu08480,2
53502,AmBe11043,AmBe11043,3
53545,AmBe11043,AmBe11043,3
53616,AmBe11043,AmBe11043,3
53737,AmBe11043,AmBe11043,3
53795,AmBe11043,AmBe11043,3
53818,AmBe11043,AmBe11043,3
53916,AmBe11043,AmBe11043,3
53939,AmBe11043,AmBe11043,3
31092,AmRu13718,AmRu13718,9
42546,AmRu15209,AmRu15209,3
42604,AmRu15209,AmRu15209,3
42632,AmRu15209,AmRu15209,3
42711,AmRu15209,AmRu15209,3
42742,AmRu15209,AmRu15209,3
42834,AmRu15209,AmRu15209,3
42918,AmRu15209,AmRu15209,3
43057,AmRu15209,AmRu15209,3
25748,SoRu37428,SoRu37428,3
25798,SoRu37428,SoRu37428,3
25854,SoRu37428,SoRu37428,3
25860,SoRu37428,SoRu37428,3
25888,SoRu37428,SoRu37428,3
25988,SoRu37428,SoRu37428,3
26070,SoRu37428,SoRu37428,3
26199,SoRu37428,SoRu37428,3
30989,SoRu34787,SoRu34787,2
36239,AkRu03204,AkRu03204,3
4657,SoMa34137,SoMa34137,3
17601,SoRu38874,SoRu38874,3
17627,SoRu38874,SoRu38874,3
17650,SoRu38874,SoRu38874,3
17661,SoRu38874,SoRu38874,3
17805,SoRu38874,SoRu38874,3
17810,SoRu38874,SoRu38874,3
17897,SoRu38874,SoRu38874,3
17987,SoRu38874,SoRu38874,3
9219,KiMr24320,KiMr24320,2
42913,AkRu06460,AkRu06460,2
43140,KiHa22748,KiHa22748,9
57339,KiRu28673,KiRu28673,1
25090,AkHa00193,AkHa00193,9
53977,AmAs10732,AmAs10732,0
2193,KiRu27585,KiRu27585,3
23766,AkRu03541,AkRu03541,2
55253,AkRu04448,AkRu04448,3
56131,HaRu20155,HaRu20155,0
3820,AmAm09990,AmAm09990,5
3830,AmAm09990,AmAm09990,5
3923,AmAm09990,AmAm09990,5
4034,AmAm09990,AmAm09990,5
4072,AmAm09990,AmAm09990,5
4150,AmAm09990,AmAm09990,5
4176,AmAm09990,AmAm09990,5
4263,AmAm09990,AmAm09990,5
53881,KiZu31024,KiZu31024,0
2825,SoIl32392,SoIl32392,3
2902,SoIl32392,SoIl32392,3
2973,SoIl32392,SoIl32392,3
3118,SoIl32392,SoIl32392,3
3181,SoIl32392,SoIl32392,3
3201,SoIl32392,SoIl32392,3
3216,SoIl32392,SoIl32392,3
3232,SoIl32392,SoIl32392,3
13821,SoRu38699,SoRu38699,3
50732,KiAm22079,KiAm22079,9
27240,KiRu26316,KiRu26316,3
27307,KiRu26316,KiRu26316,3
27418,KiRu26316,KiRu26316,3
27482,KiRu26316,KiRu26316,3
27569,KiRu26316,KiRu26316,3
27645,KiRu26316,KiRu26316,3
27670,KiRu26316,KiRu26316,3
27769,KiRu26316,KiRu26316,3
57050,AkKi01456,AkKi01456,9
43992,AkRu08152,AkRu08152,2
18928,KiRu27444,KiRu27444,7
55091,HaRu20693,HaRu20693,1
8803,AkRu04981,AkRu04981,3
14177,KiRu28580,KiRu28580,1
25914,KiRu30008,KiRu30008,1
55851,SoMa34631,SoMa34631,2
31236,SoKo33227,SoKo33227,1
23398,AmRu14465,AmRu14465,3
23526,AmRu14465,AmRu14465,3
23541,AmRu14465,AmRu14465,3
23577,AmRu14465,AmRu14465,3
23666,AmRu14465,AmRu14465,3
23748,AmRu14465,AmRu14465,3
23794,AmRu14465,AmRu14465,3
23848,AmRu14465,AmRu14465,3
