Project_id,source_id,Address,Town,Province,Source_type,Improvement,Source_status,Date_of_completion,Comments
1,SoIl32582224,"36 Pwani Mchangani Road",Ilanga,Sokoto,river,"Drill well",Backlog,NULL,NULL
2,KiRu28935224,"129 Ziwa La Kioo Road",Rural,Kilimani,well,"Install UV and RO filter",Backlog,NULL,NULL
3,HaRu19752224,"18 Mlima Tazama Avenue",Rural,Hawassa,shared_tap,"Install 2 taps nearby",Backlog,NULL,NULL
4,AkLu01628224,"100 Mogadishu Road",Lusaka,Akatsi,well,"Install UV and RO filter",Backlog,NULL,NULL
5,KiRu29315224,"26 Bahari Ya Faraja Road",Rural,Kilimani,river,"Drill well",Backlog,NULL,NULL
6,AkRu05234224,"104 Kenyatta Street",Rural,Akatsi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
7,HaZa21742224,"117 Kampala Road",Zanzibar,Hawassa,well,"Install RO filter",Backlog,NULL,NULL
8,SoRu35008224,"55 Fennec Way",Rural,Sokoto,shared_tap,"Install 8 taps nearby",Backlog,NULL,NULL
9,SoRu35703224,"52 Moroni Avenue",Rural,Sokoto,well,"Install UV and RO filter",Backlog,NULL,NULL
10,AkHa00070224,"51 Addis Ababa Road",Harare,Akatsi,well,"Install RO filter",Backlog,NULL,NULL
11,KiHa23304224,"31 Samora Machel Road",Harare,Kilimani,river,"Drill well",Backlog,NULL,NULL
12,KiRu26190224,"110 Nyerere Road",Rural,Kilimani,shared_tap,"Install 5 taps nearby",Backlog,NULL,NULL
13,HaYa21468224,"146 Okapi Road",Yaounde,Hawassa,well,"Install RO filter",Backlog,NULL,NULL
14,SoRu36278224,"18 Casablanca Road",Rural,Sokoto,well,"Install UV and RO filter",Backlog,NULL,NULL
15,AkLu02155224,"7 Dakar Drive",Lusaka,Akatsi,well,"Install RO filter",Backlog,NULL,NULL
16,AkLu02259224,"24 Okonjo-Iweala Street",Lusaka,Akatsi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
17,AkRu06938224,"172 Fisi Nkrumah Street",Rural,Akatsi,well,"Install RO filter",Backlog,NULL,NULL
18,AkKi01222224,"59 Ziwa Nyeusi Street",Kintampo,Akatsi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
19,AkRu05825224,"140 Mbeki Street",Rural,Akatsi,well,"Install RO filter",Backlog,NULL,NULL
20,SoRu36313224,"41 Casablanca Road",Rural,Sokoto,well,"Install UV and RO filter",Backlog,NULL,NULL
21,KiMr24968224,"167 Mlima Wa Matumaini Street",Mrembo,Kilimani,well,"Install UV and RO filter",Backlog,NULL,NULL
22,KiRu30598224,"108 Sahara Street",Rural,Kilimani,shared_tap,"Install 1 taps nearby",Backlog,NULL,NULL
23,KiMr25096224,"14 Afrobeats Street",Mrembo,Kilimani,river,"Drill well",Backlog,NULL,NULL
24,SoRu35294224,"110 Nile Street",Rural,Sokoto,river,"Drill well",Backlog,NULL,NULL
25,KiRu27916224,"9 Nyerere Ndovu Avenue",Rural,Kilimani,well,"Install RO filter",Backlog,NULL,NULL
26,SoRu35508224,"199 Monrovia Street",Rural,Sokoto,well,"Install RO filter",Backlog,NULL,NULL
27,KiRu27248224,"68 Maseru Road",Rural,Kilimani,shared_tap,"Install 7 taps nearby",Backlog,NULL,NULL
28,AkHa00465224,"160 Oliver Tambo Street",Harare,Akatsi,well,"Install RO filter",Backlog,NULL,NULL
29,HaSe21309224,"27 Afro Beat Road",Serowe,Hawassa,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
30,SoRu39241224,"57 Hugh Masekela Avenue",Rural,Sokoto,well,"Install RO filter",Backlog,NULL,NULL
31,AmRu13250224,"142 Hurghada Street",Rural,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
32,AkLu01584224,"4 Mogadishu Road",Lusaka,Akatsi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
33,SoRu39205224,"24 Hugh Masekela Avenue",Rural,Sokoto,well,"Install RO filter",Backlog,NULL,NULL
34,HaDj16683224,"54 Durban Road",Djenne,Hawassa,well,"Install UV and RO filter",Backlog,NULL,NULL
35,AmRu14584224,"145 Desmond Tutu Road",Rural,Amanzi,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
36,KiZu31052224,"48 Yaounde Street",Zuri,Kilimani,tap_in_home_broken,"Diagnose local infrastructure",Backlog,NULL,NULL
37,HaRu18434224,"53 Kano Street",Rural,Hawassa,well,"Install UV and RO filter",Backlog,NULL,NULL
38,AkRu04543224,"60 Antananarivo Road",Rural,Akatsi,well,"Install RO filter",Backlog,NULL,NULL
