address,town_name,province_name,source_id,type_of_water_source,results
"2 Addis Ababa Road",Harare,Akatsi,AkHa00000224,tap_in_home,NULL
"10 Addis Ababa Road",Harare,Akatsi,AkHa00001224,tap_in_home_broken,NULL
"9 Addis Ababa Road",Harare,Akatsi,AkHa00002224,tap_in_home_broken,NULL
"139 Addis Ababa Road",Harare,Akatsi,AkHa00003224,well,Clean
"17 Addis Ababa Road",Harare,Akatsi,AkHa00004224,tap_in_home_broken,NULL
"125 Addis Ababa Road",Harare,Akatsi,AkHa00005224,tap_in_home,NULL
"98 Addis Ababa Road",Harare,Akatsi,AkHa00006224,tap_in_home,NULL
"21 Addis Ababa Road",Harare,Akatsi,AkHa00007224,tap_in_home,NULL
"11 Addis Ababa Road",Harare,Akatsi,AkHa00008224,well,Clean
"6 Addis Ababa Road",Harare,Akatsi,AkHa00009224,well,"Contaminated: Biological"
"28 Addis Ababa Road",Harare,Akatsi,AkHa00010224,well,"Contaminated: Chemical"
"32 Addis Ababa Road",Harare,Akatsi,AkHa00011224,well,"Contaminated: Chemical"
"52 Addis Ababa Road",Harare,Akatsi,AkHa00012224,well,Clean
"81 Addis Ababa Road",Harare,Akatsi,AkHa00013224,shared_tap,NULL
"142 Addis Ababa Road",Harare,Akatsi,AkHa00014224,tap_in_home_broken,NULL
"22 Addis Ababa Road",Harare,Akatsi,AkHa00015224,tap_in_home,NULL
"55 Addis Ababa Road",Harare,Akatsi,AkHa00016224,well,Clean
"60 Addis Ababa Road",Harare,Akatsi,AkHa00017224,tap_in_home_broken,NULL
"120 Addis Ababa Road",Harare,Akatsi,AkHa00018224,well,"Contaminated: Chemical"
"150 Addis Ababa Road",Harare,Akatsi,AkHa00019224,tap_in_home_broken,NULL
"16 Addis Ababa Road",Harare,Akatsi,AkHa00020224,well,"Contaminated: Chemical"
"57 Addis Ababa Road",Harare,Akatsi,AkHa00021224,tap_in_home_broken,NULL
"132 Addis Ababa Road",Harare,Akatsi,AkHa00022224,well,Clean
"147 Addis Ababa Road",Harare,Akatsi,AkHa00023224,tap_in_home_broken,NULL
"116 Addis Ababa Road",Harare,Akatsi,AkHa00024224,well,"Contaminated: Biological"
"76 Addis Ababa Road",Harare,Akatsi,AkHa00025224,tap_in_home,NULL
"82 Addis Ababa Road",Harare,Akatsi,AkHa00026224,well,Clean
"144 Addis Ababa Road",Harare,Akatsi,AkHa00027224,well,Clean
"72 Addis Ababa Road",Harare,Akatsi,AkHa00028224,well,"Contaminated: Chemical"
"29 Addis Ababa Road",Harare,Akatsi,AkHa00029224,tap_in_home_broken,NULL
"121 Addis Ababa Road",Harare,Akatsi,AkHa00030224,well,Clean
"88 Addis Ababa Road",Harare,Akatsi,AkHa00031224,well,Clean
"75 Addis Ababa Road",Harare,Akatsi,AkHa00032224,well,"Contaminated: Biological"
"49 Addis Ababa Road",Harare,Akatsi,AkHa00033224,well,"Contaminated: Chemical"
"95 Addis Ababa Road",Harare,Akatsi,AkHa00034224,well,"Contaminated: Biological"
"31 Addis Ababa Road",Harare,Akatsi,AkHa00035224,tap_in_home_broken,NULL
"54 Addis Ababa Road",Harare,Akatsi,AkHa00036224,shared_tap,NULL
"54 Addis Ababa Road",Harare,Akatsi,AkHa00036224,shared_tap,NULL
"54 Addis Ababa Road",Harare,Akatsi,AkHa00036224,shared_tap,NULL
"54 Addis Ababa Road",Harare,Akatsi,AkHa00036224,shared_tap,NULL
"54 Addis Ababa Road",Harare,Akatsi,AkHa00036224,shared_tap,NULL
"54 Addis Ababa Road",Harare,Akatsi,AkHa00036224,shared_tap,NULL
"54 Addis Ababa Road",Harare,Akatsi,AkHa00036224,shared_tap,NULL
"54 Addis Ababa Road",Harare,Akatsi,AkHa00036224,shared_tap,NULL
"19 Addis Ababa Road",Harare,Akatsi,AkHa00037224,well,"Contaminated: Chemical"
"37 Addis Ababa Road",Harare,Akatsi,AkHa00038224,well,Clean
"137 Addis Ababa Road",Harare,Akatsi,AkHa00039224,well,Clean
"63 Addis Ababa Road",Harare,Akatsi,AkHa00040224,tap_in_home_broken,NULL
