address,town_name,province_name,source_id,type_of_water_source,results,Improvement
"36 Pwani Mchangani Road",Ilanga,Sokoto,SoIl32582224,river,NULL,"Drill well"
"129 Ziwa La Kioo Road",Rural,Kilimani,KiRu28935224,well,"Contaminated: Biological","Install UV and RO filter"
"18 Mlima Tazama Avenue",Rural,Hawassa,HaRu19752224,shared_tap,NULL,NULL
"100 Mogadishu Road",Lusaka,Akatsi,AkLu01628224,well,"Contaminated: Biological","Install UV and RO filter"
"26 Bahari Ya Faraja Road",Rural,Kilimani,KiRu29315224,river,NULL,"Drill well"
"104 Kenyatta Street",Rural,Akatsi,AkRu05234224,tap_in_home_broken,NULL,NULL
"117 Kampala Road",Zanzibar,Hawassa,HaZa21742224,well,"Contaminated: Chemical","Install RO filter"
"55 Fennec Way",Rural,Sokoto,SoRu35008224,shared_tap,NULL,NULL
"52 Moroni Avenue",Rural,Sokoto,SoRu35703224,well,"Contaminated: Biological","Install UV and RO filter"
"51 Addis Ababa Road",Harare,Akatsi,AkHa00070224,well,"Contaminated: Chemical","Install RO filter"
"31 Samora Machel Road",Harare,Kilimani,KiHa23304224,river,NULL,"Drill well"
"110 Nyerere Road",Rural,Kilimani,KiRu26190224,shared_tap,NULL,NULL
"146 Okapi Road",Yaounde,Hawassa,HaYa21468224,well,"Contaminated: Chemical","Install RO filter"
"18 Casablanca Road",Rural,Sokoto,SoRu36278224,well,"Contaminated: Biological","Install UV and RO filter"
"7 Dakar Drive",Lusaka,Akatsi,AkLu02155224,well,"Contaminated: Chemical","Install RO filter"
"24 Okonjo-Iweala Street",Lusaka,Akatsi,AkLu02259224,tap_in_home_broken,NULL,NULL
"172 Fisi Nkrumah Street",Rural,Akatsi,AkRu06938224,well,"Contaminated: Chemical","Install RO filter"
"59 Ziwa Nyeusi Street",Kintampo,Akatsi,AkKi01222224,tap_in_home_broken,NULL,NULL
"140 Mbeki Street",Rural,Akatsi,AkRu05825224,well,"Contaminated: Chemical","Install RO filter"
"41 Casablanca Road",Rural,Sokoto,SoRu36313224,well,"Contaminated: Biological","Install UV and RO filter"
"167 Mlima Wa Matumaini Street",Mrembo,Kilimani,KiMr24968224,well,"Contaminated: Biological","Install UV and RO filter"
"108 Sahara Street",Rural,Kilimani,KiRu30598224,shared_tap,NULL,NULL
"14 Afrobeats Street",Mrembo,Kilimani,KiMr25096224,river,NULL,"Drill well"
"110 Nile Street",Rural,Sokoto,SoRu35294224,river,NULL,"Drill well"
"9 Nyerere Ndovu Avenue",Rural,Kilimani,KiRu27916224,well,"Contaminated: Chemical","Install RO filter"
"199 Monrovia Street",Rural,Sokoto,SoRu35508224,well,"Contaminated: Chemical","Install RO filter"
"68 Maseru Road",Rural,Kilimani,KiRu27248224,shared_tap,NULL,NULL
"160 Oliver Tambo Street",Harare,Akatsi,AkHa00465224,well,"Contaminated: Chemical","Install RO filter"
"27 Afro Beat Road",Serowe,Hawassa,HaSe21309224,tap_in_home_broken,NULL,NULL
"57 Hugh Masekela Avenue",Rural,Sokoto,SoRu39241224,well,"Contaminated: Chemical","Install RO filter"
"142 Hurghada Street",Rural,Amanzi,AmRu13250224,tap_in_home_broken,NULL,NULL
"4 Mogadishu Road",Lusaka,Akatsi,AkLu01584224,tap_in_home_broken,NULL,NULL
"24 Hugh Masekela Avenue",Rural,Sokoto,SoRu39205224,well,"Contaminated: Chemical","Install RO filter"
"54 Durban Road",Djenne,Hawassa,HaDj16683224,well,"Contaminated: Biological","Install UV and RO filter"
"145 Desmond Tutu Road",Rural,Amanzi,AmRu14584224,tap_in_home_broken,NULL,NULL
"48 Yaounde Street",Zuri,Kilimani,KiZu31052224,tap_in_home_broken,NULL,NULL
"53 Kano Street",Rural,Hawassa,HaRu18434224,well,"Contaminated: Biological","Install UV and RO filter"
"60 Antananarivo Road",Rural,Akatsi,AkRu04543224,well,"Contaminated: Chemical","Install RO filter"
"58 Lome Street",Amara,Kilimani,KiAm22119224,well,"Contaminated: Chemical","Install RO filter"
"129 Kuku Kenyatta Road",Rural,Sokoto,SoRu37843224,shared_tap,NULL,NULL
"70 Okonjo-Iweala Street",Lusaka,Akatsi,AkLu02211224,well,"Contaminated: Biological","Install UV and RO filter"
"47 Ziwa La Machweo Avenue",Rural,Amanzi,AmRu15398224,tap_in_home_broken,NULL,NULL
"95 Ndege Tambo Road",Deka,Hawassa,HaDe16499224,well,"Contaminated: Biological","Install UV and RO filter"
"2 Isicathamiya Avenue",Rural,Sokoto,SoRu39347224,well,"Contaminated: Chemical","Install RO filter"
"9 Savannah Grove",Rural,Hawassa,HaRu17247224,tap_in_home_broken,NULL,NULL
"34 Marrakech Avenue",Rural,Akatsi,AkRu04602224,tap_in_home_broken,NULL,NULL
"147 Afrobeats Street",Mrembo,Kilimani,KiMr25211224,shared_tap,NULL,NULL
"11 Ukingo Wa Jua Street",Rural,Akatsi,AkRu07283224,tap_in_home_broken,NULL,NULL
"66 Mali Avenue",Cheche,Sokoto,SoCh32247224,well,"Contaminated: Chemical","Install RO filter"
"129 Cape Verde Street",Ilanga,Sokoto,SoIl32868224,tap_in_home_broken,NULL,NULL
"157 Mlima Wa Hekima Street",Kofi,Sokoto,SoKo33558224,river,NULL,"Drill well"
"139 Tuku Street",Rural,Hawassa,HaRu20738224,well,"Contaminated: Biological","Install UV and RO filter"
"116 Kumasi Street",Lusaka,Akatsi,AkLu02115224,tap_in_home_broken,NULL,NULL
"112 Kifaru Lumumba Road",Amina,Hawassa,HaAm16229224,well,"Contaminated: Chemical","Install RO filter"
"172 Milima Kali Street",Rural,Hawassa,HaRu20104224,well,"Contaminated: Chemical","Install RO filter"
"79 Nelson Mandela Street",Rural,Sokoto,SoRu37081224,river,NULL,"Drill well"
"42 Haile Selassie Avenue",Rural,Kilimani,KiRu27870224,well,"Contaminated: Biological","Install UV and RO filter"
"19 Swahili Grove",Rural,Akatsi,AkRu03074224,tap_in_home_broken,NULL,NULL
"188 Nelson Mandela Street",Rural,Sokoto,SoRu37178224,tap_in_home_broken,NULL,NULL
"45 Mto Wa Ukarimu Street",Rural,Sokoto,SoRu38743224,tap_in_home_broken,NULL,NULL
"150 Victoria Street",Rural,Akatsi,AkRu04162224,river,NULL,"Drill well"
"84 Durban Road",Djenne,Hawassa,HaDj16798224,well,"Contaminated: Chemical","Install RO filter"
"58 Fes Boulevard",Serowe,Hawassa,HaSe21113224,river,NULL,"Drill well"
"178 Lumumba Lane",Amina,Amanzi,AmAm09513224,tap_in_home_broken,NULL,NULL
"190 Jengo Street",Pwani,Amanzi,AmPw12464224,tap_in_home_broken,NULL,NULL
"61 Mto Maridadi Avenue",Rural,Amanzi,AmRu15067224,tap_in_home_broken,NULL,NULL
"171 Tuku Street",Rural,Hawassa,HaRu20701224,well,"Contaminated: Biological","Install UV and RO filter"
"38 Cairo Road",Rural,Amanzi,AmRu13095224,tap_in_home_broken,NULL,NULL
"192 Lome Street",Amara,Kilimani,KiAm22120224,well,"Contaminated: Biological","Install UV and RO filter"
"47 Asmara Boulevard",Rural,Akatsi,AkRu03143224,well,"Contaminated: Chemical","Install RO filter"
