province_name,town_name,type_of_water_source,number_of_people_served,visit_count
Akatsi,Harare,tap_in_home,956,1
Akatsi,Harare,tap_in_home_broken,930,1
Akatsi,Harare,tap_in_home_broken,486,1
Akatsi,Harare,well,364,1
Akatsi,Harare,tap_in_home_broken,942,1
Akatsi,Harare,tap_in_home,736,1
Akatsi,Harare,tap_in_home,882,1
Akatsi,Harare,tap_in_home,554,1
Akatsi,Harare,well,398,1
Akatsi,Harare,well,346,1
Akatsi,Harare,well,236,1
Akatsi,Harare,well,168,1
Akatsi,Harare,well,192,1
Akatsi,Harare,shared_tap,2212,1
Akatsi,Harare,tap_in_home_broken,574,1
Akatsi,Harare,tap_in_home,862,1
Akatsi,Harare,well,278,1
Akatsi,Harare,tap_in_home_broken,414,1
Akatsi,Harare,well,390,1
Akatsi,Harare,tap_in_home_broken,320,1
Akatsi,Harare,well,234,1
Akatsi,Harare,tap_in_home_broken,330,1
Akatsi,Harare,well,304,1
Akatsi,Harare,tap_in_home_broken,954,1
Akatsi,Harare,well,292,1
Akatsi,Harare,tap_in_home,354,1
Akatsi,Harare,well,388,1
Akatsi,Harare,well,224,1
Akatsi,Harare,well,306,1
Akatsi,Harare,tap_in_home_broken,816,1
Akatsi,Harare,well,366,1
Akatsi,Harare,well,354,1
Akatsi,Harare,well,382,1
Akatsi,Harare,well,384,1
Akatsi,Harare,well,210,1
Akatsi,Harare,tap_in_home_broken,920,1
Akatsi,Harare,shared_tap,3488,1
Akatsi,Harare,shared_tap,3488,2
Akatsi,Harare,shared_tap,3488,3
Akatsi,Harare,shared_tap,3488,4
Akatsi,Harare,shared_tap,3488,5
Akatsi,Harare,shared_tap,3488,6
Akatsi,Harare,shared_tap,3488,7
Akatsi,Harare,shared_tap,3488,8
Akatsi,Harare,well,348,1
Akatsi,Harare,well,308,1
Akatsi,Harare,well,252,1
Akatsi,Harare,tap_in_home_broken,338,1
Akatsi,Harare,tap_in_home,672,1
Akatsi,Harare,tap_in_home,766,1
Akatsi,Harare,tap_in_home_broken,364,1
Akatsi,Harare,well,304,1
Akatsi,Harare,well,370,1
Akatsi,Harare,well,186,1
Akatsi,Harare,well,324,1
Akatsi,Harare,well,174,1
Akatsi,Harare,tap_in_home_broken,892,1
Akatsi,Harare,tap_in_home_broken,716,1
Akatsi,Harare,tap_in_home,900,1
Akatsi,Harare,tap_in_home,374,1
Akatsi,Harare,tap_in_home_broken,748,1
Akatsi,Harare,well,378,1
Akatsi,Harare,tap_in_home,562,1
Akatsi,Harare,well,328,1
Akatsi,Harare,tap_in_home_broken,876,1
Akatsi,Harare,well,290,1
Akatsi,Harare,well,316,1
Akatsi,Harare,tap_in_home_broken,376,1
Akatsi,Harare,tap_in_home,908,1
Akatsi,Harare,tap_in_home_broken,576,1
Akatsi,Harare,well,306,1
Akatsi,Harare,tap_in_home_broken,538,1
Akatsi,Harare,tap_in_home_broken,874,1
Akatsi,Harare,tap_in_home,722,1
Akatsi,Harare,well,302,1
Akatsi,Harare,well,264,1
Akatsi,Harare,well,306,1
Akatsi,Harare,well,390,1
Akatsi,Harare,well,212,1
Akatsi,Harare,tap_in_home_broken,816,1
Akatsi,Harare,well,354,1
Akatsi,Harare,tap_in_home_broken,322,1
Akatsi,Harare,tap_in_home_broken,358,1
Akatsi,Harare,well,298,1
Akatsi,Harare,well,262,1
Akatsi,Harare,tap_in_home_broken,612,1
Akatsi,Harare,tap_in_home,332,1
Akatsi,Harare,tap_in_home,880,1
Akatsi,Harare,well,318,1
Akatsi,Harare,tap_in_home_broken,322,1
Akatsi,Harare,tap_in_home_broken,744,1
Akatsi,Harare,shared_tap,322,1
Akatsi,Harare,well,346,1
Akatsi,Harare,well,206,1
Akatsi,Harare,well,288,1
Akatsi,Harare,well,354,1
Akatsi,Harare,well,268,1
Akatsi,Harare,shared_tap,308,1
Akatsi,Harare,shared_tap,308,2
Akatsi,Harare,shared_tap,308,3
Akatsi,Harare,shared_tap,308,4
Akatsi,Harare,shared_tap,308,5
Akatsi,Harare,shared_tap,308,6
Akatsi,Harare,shared_tap,308,7
Akatsi,Harare,shared_tap,308,8
Akatsi,Harare,well,350,1
Akatsi,Harare,well,166,1
Akatsi,Harare,well,324,1
Akatsi,Harare,tap_in_home,672,1
Akatsi,Harare,tap_in_home_broken,654,1
Akatsi,Harare,well,184,1
Akatsi,Harare,tap_in_home,538,1
Akatsi,Harare,well,390,1
Akatsi,Harare,tap_in_home,306,1
Akatsi,Harare,tap_in_home_broken,504,1
Akatsi,Harare,tap_in_home_broken,332,1
Akatsi,Harare,tap_in_home,690,1
Akatsi,Harare,shared_tap,3340,1
Akatsi,Harare,shared_tap,3340,2
Akatsi,Harare,shared_tap,3340,3
Akatsi,Harare,shared_tap,3340,4
Akatsi,Harare,shared_tap,3340,5
Akatsi,Harare,shared_tap,3340,6
Akatsi,Harare,shared_tap,3340,7
Akatsi,Harare,shared_tap,3340,8
Akatsi,Harare,tap_in_home_broken,398,1
Akatsi,Harare,well,324,1
Akatsi,Harare,well,190,1
Akatsi,Harare,tap_in_home_broken,370,1
Akatsi,Harare,well,272,1
Akatsi,Harare,tap_in_home,444,1
Akatsi,Harare,well,392,1
Akatsi,Harare,tap_in_home,638,1
Akatsi,Harare,tap_in_home,454,1
Akatsi,Harare,well,208,1
Akatsi,Harare,tap_in_home,502,1
Akatsi,Harare,tap_in_home,554,1
Akatsi,Harare,tap_in_home_broken,378,1
Akatsi,Harare,well,228,1
Akatsi,Harare,well,344,1
Akatsi,Harare,well,390,1
Akatsi,Harare,tap_in_home_broken,668,1
Akatsi,Harare,well,190,1
Akatsi,Harare,tap_in_home,920,1
Akatsi,Harare,well,396,1
Akatsi,Harare,well,240,1
Akatsi,Harare,well,242,1
Akatsi,Harare,well,314,1
Akatsi,Harare,tap_in_home,366,1
Akatsi,Harare,well,356,1
Akatsi,Harare,well,346,1
Akatsi,Harare,well,318,1
Akatsi,Harare,tap_in_home_broken,930,1
Akatsi,Harare,well,286,1
Akatsi,Harare,well,388,1
Akatsi,Harare,well,316,1
Akatsi,Harare,well,268,1
Akatsi,Harare,well,380,1
Akatsi,Harare,shared_tap,3198,1
Akatsi,Harare,shared_tap,3198,2
Akatsi,Harare,shared_tap,3198,3
Akatsi,Harare,shared_tap,3198,4
Akatsi,Harare,shared_tap,3198,5
Akatsi,Harare,shared_tap,3198,6
Akatsi,Harare,shared_tap,3198,7
Akatsi,Harare,shared_tap,3198,8
Akatsi,Harare,tap_in_home_broken,418,1
Akatsi,Harare,well,394,1
Akatsi,Harare,tap_in_home,570,1
Akatsi,Harare,well,228,1
Akatsi,Harare,tap_in_home_broken,422,1
Akatsi,Harare,well,244,1
Akatsi,Harare,tap_in_home,404,1
Akatsi,Harare,tap_in_home_broken,684,1
Akatsi,Harare,tap_in_home,636,1
Akatsi,Harare,tap_in_home,544,1
Akatsi,Harare,well,206,1
Akatsi,Harare,well,324,1
Akatsi,Harare,well,338,1
Akatsi,Harare,well,258,1
Akatsi,Harare,well,336,1
Akatsi,Harare,well,374,1
Akatsi,Harare,well,188,1
