province_name,town_name,type_of_water_source,number_of_people_served,visit_count
Sokoto,Ilanga,river,402,1
Kilimani,Rural,well,252,1
Hawassa,Rural,shared_tap,542,1
Akatsi,Lusaka,well,210,1
Akatsi,Rural,shared_tap,2598,1
Kilimani,Rural,river,862,1
Akatsi,Rural,tap_in_home_broken,496,1
Kilimani,Rural,tap_in_home,562,1
Hawassa,Zanzibar,well,308,1
Amanzi,Dahabu,tap_in_home,556,1
Hawassa,Rural,well,296,1
Kilimani,Rural,shared_tap,562,1
Sokoto,Rural,shared_tap,3746,1
Akatsi,Kintampo,tap_in_home,404,1
Amanzi,Dahabu,tap_in_home,376,1
Sokoto,Rural,well,308,1
Hawassa,Rural,tap_in_home,682,1
Akatsi,Harare,well,390,1
Hawassa,Serowe,tap_in_home,548,1
Hawassa,Serowe,well,300,1
Kilimani,Harare,river,450,1
Kilimani,Rural,shared_tap,2050,1
Hawassa,Yaounde,well,334,1
Hawassa,Serowe,tap_in_home,322,1
Amanzi,Rural,tap_in_home,392,1
Sokoto,Rural,well,394,1
Akatsi,Lusaka,well,350,1
Kilimani,Harare,tap_in_home,600,1
Akatsi,Lusaka,tap_in_home_broken,644,1
Akatsi,Rural,well,234,1
Akatsi,Kintampo,tap_in_home_broken,334,1
Akatsi,Rural,well,208,1
Hawassa,Rural,shared_tap,2668,1
Amanzi,Abidjan,tap_in_home,830,1
Akatsi,Rural,well,308,1
Sokoto,Rural,well,220,1
Kilimani,Mrembo,well,350,1
Hawassa,Rural,shared_tap,270,1
Kilimani,Rural,shared_tap,462,1
Kilimani,Mrembo,river,764,1
Sokoto,Rural,river,788,1
Amanzi,Dahabu,tap_in_home,660,1
Sokoto,Rural,tap_in_home,486,1
Kilimani,Rural,well,304,1
Kilimani,Mrembo,tap_in_home,504,1
Sokoto,Rural,well,300,1
Sokoto,Cheche,tap_in_home,730,1
Kilimani,Rural,shared_tap,2602,1
Amanzi,Dahabu,tap_in_home,740,1
Kilimani,Isiqalo,tap_in_home,690,1
Amanzi,Dahabu,tap_in_home,640,1
Akatsi,Harare,well,238,1
Akatsi,Rural,shared_tap,288,1
Akatsi,Harare,well,252,1
Hawassa,Rural,tap_in_home,832,1
Amanzi,Rural,tap_in_home,362,1
Hawassa,Serowe,tap_in_home_broken,940,1
Sokoto,Rural,well,162,1
Hawassa,Rural,well,264,1
Amanzi,Rural,tap_in_home_broken,790,1
Amanzi,Rural,tap_in_home,382,1
Akatsi,Lusaka,tap_in_home_broken,988,1
Sokoto,Rural,well,358,1
Hawassa,Djenne,well,216,1
Amanzi,Rural,tap_in_home,678,1
Amanzi,Rural,tap_in_home_broken,706,1
Kilimani,Zuri,tap_in_home_broken,650,1
Amanzi,Pwani,shared_tap,1822,1
Hawassa,Rural,well,224,1
Hawassa,Deka,tap_in_home,578,1
Hawassa,Rural,shared_tap,2880,1
Akatsi,Rural,well,202,1
Hawassa,Serowe,well,374,1
Akatsi,Rural,well,332,1
Kilimani,Amara,well,204,1
Akatsi,Lusaka,tap_in_home,470,1
Amanzi,Rural,tap_in_home,762,1
Sokoto,Rural,shared_tap,496,1
Akatsi,Lusaka,well,340,1
Amanzi,Rural,tap_in_home_broken,704,1
Hawassa,Deka,well,306,1
Sokoto,Rural,well,396,1
Amanzi,Amina,well,362,1
Hawassa,Rural,tap_in_home_broken,726,1
Akatsi,Rural,tap_in_home_broken,664,1
Kilimani,Mrembo,shared_tap,1380,1
Akatsi,Rural,tap_in_home_broken,808,1
Sokoto,Cheche,well,288,1
Sokoto,Ilanga,tap_in_home_broken,768,1
Sokoto,Kofi,river,754,1
Hawassa,Rural,well,178,1
Amanzi,Asmara,tap_in_home,776,1
Akatsi,Lusaka,tap_in_home_broken,880,1
Hawassa,Amina,well,332,1
Hawassa,Rural,well,228,1
Kilimani,Harare,well,260,1
Sokoto,Rural,river,536,1
Kilimani,Rural,well,368,1
Hawassa,Yaounde,tap_in_home,846,1
Sokoto,Bahari,tap_in_home,752,1
Amanzi,Dahabu,well,256,1
Akatsi,Rural,tap_in_home_broken,318,1
Sokoto,Rural,tap_in_home_broken,328,1
Sokoto,Rural,tap_in_home_broken,676,1
Akatsi,Rural,river,622,1
Kilimani,Rural,tap_in_home,818,1
Hawassa,Djenne,well,218,1
Hawassa,Serowe,river,906,1
Amanzi,Amina,tap_in_home_broken,806,1
Amanzi,Pwani,tap_in_home_broken,690,1
Amanzi,Rural,tap_in_home_broken,452,1
Kilimani,Rural,well,340,1
Hawassa,Rural,well,282,1
Amanzi,Rural,tap_in_home_broken,946,1
Sokoto,Marang,well,216,1
Akatsi,Rural,well,166,1
Kilimani,Amara,well,260,1
Akatsi,Rural,well,212,1
Akatsi,Rural,shared_tap,1286,1
Sokoto,Rural,tap_in_home_broken,958,1
Akatsi,Rural,tap_in_home,516,1
Akatsi,Rural,well,276,1
Kilimani,Harare,tap_in_home,618,1
Amanzi,Rural,tap_in_home_broken,990,1
Amanzi,Bello,well,382,1
Hawassa,Rural,shared_tap,1402,1
Amanzi,Bello,shared_tap,944,1
Sokoto,Rural,tap_in_home,980,1
Akatsi,Rural,tap_in_home,528,1
Sokoto,Rural,river,838,1
Amanzi,Amina,tap_in_home_broken,778,1
Kilimani,Zuri,shared_tap,3360,1
Kilimani,Zuri,tap_in_home,386,1
Kilimani,Rural,well,370,1
Amanzi,Rural,tap_in_home,756,1
Kilimani,Rural,well,168,1
Akatsi,Harare,tap_in_home,584,1
Kilimani,Isiqalo,tap_in_home_broken,796,1
Hawassa,Amina,shared_tap,270,1
Akatsi,Harare,tap_in_home,446,1
Hawassa,Serowe,tap_in_home_broken,746,1
Kilimani,Isiqalo,tap_in_home,916,1
Amanzi,Rural,well,322,1
Sokoto,Bahari,river,452,1
Kilimani,Rural,well,212,1
Akatsi,Rural,shared_tap,1442,1
Amanzi,Asmara,shared_tap,1788,1
Akatsi,Lusaka,well,236,1
Akatsi,Rural,well,350,1
Amanzi,Amina,tap_in_home_broken,398,1
Sokoto,Rural,tap_in_home,774,1
Kilimani,Mrembo,well,318,1
