type_of_water_source,town_name,province_name,location_type,number_of_people_served,time_in_queue,results
river,Ilanga,Sokoto,Urban,402,15,NULL
well,Rural,Kilimani,Rural,252,0,"Contaminated: Biological"
shared_tap,Rural,Hawassa,Rural,542,62,NULL
well,Lusaka,Akatsi,Urban,210,0,"Contaminated: Biological"
shared_tap,Rural,Akatsi,Rural,2598,28,NULL
river,Rural,Kilimani,Rural,862,9,NULL
tap_in_home_broken,Rural,Akatsi,Rural,496,0,NULL
tap_in_home,Rural,Kilimani,Rural,562,0,NULL
well,Zanzibar,Hawassa,Urban,308,0,"Contaminated: Chemical"
tap_in_home,Dahabu,Amanzi,Urban,556,0,NULL
well,Rural,Hawassa,Rural,296,0,Clean
shared_tap,Rural,Kilimani,Rural,562,17,NULL
shared_tap,Rural,Sokoto,Rural,3746,240,NULL
tap_in_home,Kintampo,Akatsi,Urban,404,0,NULL
tap_in_home,Dahabu,Amanzi,Urban,376,0,NULL
well,Rural,Sokoto,Rural,308,0,"Contaminated: Biological"
tap_in_home,Rural,Hawassa,Rural,682,0,NULL
well,Harare,Akatsi,Urban,390,0,"Contaminated: Chemical"
tap_in_home,Serowe,Hawassa,Urban,548,0,NULL
well,Serowe,Hawassa,Urban,300,0,Clean
river,Harare,Kilimani,Urban,450,20,NULL
shared_tap,Rural,Kilimani,Rural,2050,171,NULL
well,Yaounde,Hawassa,Urban,334,0,"Contaminated: Chemical"
tap_in_home,Serowe,Hawassa,Urban,322,0,NULL
tap_in_home,Rural,Amanzi,Rural,392,0,NULL
well,Rural,Sokoto,Rural,394,0,"Contaminated: Biological"
well,Lusaka,Akatsi,Urban,350,0,"Contaminated: Chemical"
tap_in_home,Harare,Kilimani,Urban,600,0,NULL
tap_in_home_broken,Lusaka,Akatsi,Urban,644,0,NULL
well,Rural,Akatsi,Rural,234,0,"Contaminated: Chemical"
tap_in_home_broken,Kintampo,Akatsi,Urban,334,0,NULL
well,Rural,Akatsi,Rural,208,0,"Contaminated: Chemical"
shared_tap,Rural,Hawassa,Rural,2668,28,NULL
tap_in_home,Abidjan,Amanzi,Urban,830,0,NULL
well,Rural,Akatsi,Rural,308,0,Clean
well,Rural,Sokoto,Rural,220,0,"Contaminated: Biological"
well,Mrembo,Kilimani,Urban,350,0,"Contaminated: Biological"
shared_tap,Rural,Hawassa,Rural,270,16,NULL
shared_tap,Rural,Kilimani,Rural,462,56,NULL
river,Mrembo,Kilimani,Urban,764,11,NULL
river,Rural,Sokoto,Rural,788,24,NULL
tap_in_home,Dahabu,Amanzi,Urban,660,0,NULL
tap_in_home,Rural,Sokoto,Rural,486,0,NULL
well,Rural,Kilimani,Rural,304,0,"Contaminated: Chemical"
tap_in_home,Mrembo,Kilimani,Urban,504,0,NULL
well,Rural,Sokoto,Rural,300,0,"Contaminated: Chemical"
tap_in_home,Cheche,Sokoto,Urban,730,0,NULL
shared_tap,Rural,Kilimani,Rural,2602,211,NULL
tap_in_home,Dahabu,Amanzi,Urban,740,0,NULL
