province_name,town_name,location_type,type_of_water_source,number_of_people_served,time_in_queue,pollution_results,pollutant_ppm,biological
Akatsi,Harare,Urban,well,208,0,Clean,0.0262137,0.000098633
Akatsi,Harare,Urban,well,272,0,"Contaminated: Biological",0,318.664
Akatsi,Harare,Urban,well,208,0,"Contaminated: Biological",0,96.6341
Akatsi,Harare,Urban,tap_in_home_broken,578,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,184,0,"Contaminated: Biological",0,267.371
Akatsi,Harare,Urban,shared_tap,258,41,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,556,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,386,0,Clean,0.0388057,0.0000606808
Akatsi,Harare,Urban,well,318,0,"Contaminated: Biological",0,262.668
Akatsi,Harare,Urban,tap_in_home,366,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,490,0,NULL,NULL,NULL
Akatsi,Harare,Urban,shared_tap,854,19,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,418,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,718,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,468,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,394,0,"Contaminated: Biological",0,96.6341
Akatsi,Harare,Urban,well,322,0,Clean,0.0539168,0.0000935691
Akatsi,Harare,Urban,well,352,0,Clean,0.0271155,0.00000114061
Akatsi,Harare,Urban,well,184,0,Clean,0.0413851,0.0000243095
Akatsi,Harare,Urban,well,316,0,"Contaminated: Biological",0,267.371
Akatsi,Harare,Urban,tap_in_home,404,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,388,0,Clean,0.0892233,0.000000343627
Akatsi,Harare,Urban,tap_in_home,838,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,254,0,"Contaminated: Biological",0,36.1177
Akatsi,Harare,Urban,tap_in_home_broken,522,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home_broken,486,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,374,0,"Contaminated: Biological",0,182.88
Akatsi,Harare,Urban,tap_in_home,568,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,784,0,NULL,NULL,NULL
Akatsi,Harare,Urban,tap_in_home,806,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,242,0,Clean,0.0365876,0.000096444
Akatsi,Harare,Urban,tap_in_home_broken,916,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,372,0,Clean,0.0897461,0.0000976623
Akatsi,Harare,Urban,tap_in_home,828,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,352,0,"Contaminated: Chemical",6.26341,0
Akatsi,Harare,Urban,tap_in_home_broken,528,0,NULL,NULL,NULL
Akatsi,Harare,Urban,well,228,0,"Contaminated: Chemical",8.37502,0
